"filename", "language", "HTML", "Batch", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"e:\Coding Projects\join\addtask.html", "HTML", -90, 0, 0, 0, 0, 0, -12, -102
"e:\Coding Projects\join\assets\img\add.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\board.svg", "XML", 0, 0, 0, -4, 0, 0, -1, -5
"e:\Coding Projects\join\assets\img\cancel.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\check.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\checkstandard.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\contact_icon.svg", "XML", 0, 0, 0, -24, 0, 0, -1, -25
"e:\Coding Projects\join\assets\img\delete.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\deleteCopy.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\edit.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\editCopy.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\input-icon-call.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\input-icon-mail.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\input-icon-person.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\low-icon.svg", "XML", 0, 0, 0, -4, 0, 0, -1, -5
"e:\Coding Projects\join\assets\img\magnifier.svg", "XML", 0, 0, 0, -1, 0, 0, 0, -1
"e:\Coding Projects\join\assets\img\medium-icon.svg", "XML", 0, 0, 0, -4, 0, 0, -1, -5
"e:\Coding Projects\join\assets\img\person_add.svg", "XML", 0, 0, 0, -8, 0, 0, -1, -9
"e:\Coding Projects\join\assets\img\separator-blue.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"e:\Coding Projects\join\assets\img\urgent-icon.svg", "XML", 0, 0, 0, -4, 0, 0, -1, -5
"e:\Coding Projects\join\board.html", "HTML", -71, 0, 0, 0, 0, -9, -18, -98
"e:\Coding Projects\join\contacts.html", "HTML", -103, 0, 0, 0, 0, 0, -11, -114
"e:\Coding Projects\join\help.html", "HTML", -104, 0, 0, 0, 0, 0, -15, -119
"e:\Coding Projects\join\index.html", "HTML", -23, 0, 0, 0, 0, 0, -7, -30
"e:\Coding Projects\join\legalnotice.html", "HTML", -133, 0, 0, 0, 0, 0, -5, -138
"e:\Coding Projects\join\login.html", "HTML", -47, 0, 0, 0, 0, 0, -4, -51
"e:\Coding Projects\join\menu.html", "HTML", -79, 0, 0, 0, 0, 0, -10, -89
"e:\Coding Projects\join\out\fonts\OpenSans-Bold-webfont.svg", "XML", 0, 0, 0, -1830, 0, 0, 0, -1830
"e:\Coding Projects\join\out\fonts\OpenSans-BoldItalic-webfont.svg", "XML", 0, 0, 0, -1830, 0, 0, 0, -1830
"e:\Coding Projects\join\out\fonts\OpenSans-Italic-webfont.svg", "XML", 0, 0, 0, -1830, 0, 0, 0, -1830
"e:\Coding Projects\join\out\fonts\OpenSans-Light-webfont.svg", "XML", 0, 0, 0, -1831, 0, 0, 0, -1831
"e:\Coding Projects\join\out\fonts\OpenSans-LightItalic-webfont.svg", "XML", 0, 0, 0, -1835, 0, 0, 0, -1835
"e:\Coding Projects\join\out\fonts\OpenSans-Regular-webfont.svg", "XML", 0, 0, 0, -1831, 0, 0, 0, -1831
"e:\Coding Projects\join\out\global.html", "HTML", -317, 0, 0, 0, 0, -3, -1161, -1481
"e:\Coding Projects\join\out\index.html", "HTML", -26, 0, 0, 0, 0, -3, -36, -65
"e:\Coding Projects\join\out\script.js.html", "HTML", -143, 0, 0, 0, 0, -3, -37, -183
"e:\Coding Projects\join\out\scripts\linenumber.js", "JavaScript", 0, 0, 0, 0, -22, -1, -3, -26
"e:\Coding Projects\join\out\scripts\prettify\lang-css.js", "JavaScript", 0, 0, 0, 0, -2, 0, -1, -3
"e:\Coding Projects\join\out\scripts\prettify\prettify.js", "JavaScript", 0, 0, 0, 0, -28, 0, -1, -29
"e:\Coding Projects\join\out\styles\jsdoc-default.css", "CSS", 0, 0, -304, 0, 0, 0, -55, -359
"e:\Coding Projects\join\out\styles\prettify-jsdoc.css", "CSS", 0, 0, -78, 0, 0, -17, -17, -112
"e:\Coding Projects\join\out\styles\prettify-tomorrow.css", "CSS", 0, 0, -74, 0, 0, -33, -26, -133
"e:\Coding Projects\join\privacypolicy.html", "HTML", -290, 0, 0, 0, 0, 0, 0, -290
"e:\Coding Projects\join\signup.html", "HTML", -41, 0, 0, 0, 0, 0, -5, -46
"e:\Coding Projects\join\styles\addtask.css", "CSS", 0, 0, -640, 0, 0, 0, -191, -831
"e:\Coding Projects\join\styles\assets.css", "CSS", 0, 0, -6, 0, 0, 0, -3, -9
"e:\Coding Projects\join\styles\board.css", "CSS", 0, 0, -403, 0, 0, -17, -77, -497
"e:\Coding Projects\join\styles\contacts.css", "CSS", 0, 0, -555, 0, 0, -1, -178, -734
"e:\Coding Projects\join\styles\fonts.css", "CSS", 0, 0, -16, 0, 0, 0, -3, -19
"e:\Coding Projects\join\styles\help.css", "CSS", 0, 0, -46, 0, 0, 0, -10, -56
"e:\Coding Projects\join\styles\menu.css", "CSS", 0, 0, -263, 0, 0, -2, -54, -319
"e:\Coding Projects\join\styles\privacy-and-legal.css", "CSS", 0, 0, -81, 0, 0, 0, -22, -103
"e:\Coding Projects\join\styles\register.css", "CSS", 0, 0, -376, 0, 0, 0, -55, -431
"e:\Coding Projects\join\styles\style.css", "CSS", 0, 0, -9, 0, 0, 0, -3, -12
"e:\Coding Projects\join\styles\summary.css", "CSS", 0, 0, -371, 0, 0, 0, -64, -435
"e:\Coding Projects\join\styles\taskDetail.css", "CSS", 0, 0, -179, 0, 0, -6, -32, -217
"e:\Coding Projects\join\summary.html", "HTML", -93, 0, 0, 0, 0, 0, -8, -101
"e:\Coding Projects\join\summaryguest.html", "HTML", -91, 0, 0, 0, 0, 0, -7, -98
"e:\Coding Projects\join\up.bat", "Batch", 0, -4, 0, 0, 0, 0, 0, -4
"Total", "-", -1651, -4, -3401, -11072, -52, -95, -2149, -18424