"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\Coding Projects\join\scripts\addtask.js", "JavaScript", 210, 105, 49, 364
"e:\Coding Projects\join\scripts\board.js", "JavaScript", 238, 23, 48, 309
"e:\Coding Projects\join\scripts\contacts-templates.js", "JavaScript", 59, 24, 5, 88
"e:\Coding Projects\join\scripts\contacts.js", "JavaScript", 211, 120, 38, 369
"e:\Coding Projects\join\scripts\globalVariables.js", "JavaScript", 0, 0, 6, 6
"e:\Coding Projects\join\scripts\login.js", "JavaScript", 0, 0, 1, 1
"e:\Coding Projects\join\scripts\register.js", "JavaScript", 135, 53, 21, 209
"e:\Coding Projects\join\scripts\script.js", "JavaScript", 144, 62, 43, 249
"e:\Coding Projects\join\scripts\summary.js", "JavaScript", 88, 9, 12, 109
"e:\Coding Projects\join\scripts\taskDetail.js", "JavaScript", 103, 3, 17, 123
"e:\Coding Projects\join\scripts\templates.js", "JavaScript", 0, 0, 1, 1
"Total", "-", 1188, 399, 241, 1828